match_id,tournament,year,draw,round,player1,player2,platform,video_id,watch_url,title,channel,channel_id,duration_seconds,view_count,availability,source_collections,research_confidence,is_official_channel,is_explicit_full_match,match_score,minimum_player_score,match_status,last_checked_utc
australian-open-2000-men-f-andre-agassi-yevgeny-kafelnikov,Australian Open,2000,men,F,Andre Agassi,Yevgeny Kafelnikov,youtube,FtnU6kxe10Y,https://www.youtube.com/watch?v=FtnU6kxe10Y,Andre Agassi v Yevgeny Kafelnikov Full Match | Australian Open 2000 Final,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,6739,44000,public_search_result,Australian Open - Search - full match | Classic Full Matches | Australian Open | ao_research_discoveries,verified,True,True,1.000,1.000,verified_official_full_match,2026-09-22T16:07:53+00:00
australian-open-2000-men-qf-andre-agassi-hicham-arazi,Australian Open,2000,men,QF,Andre Agassi,Hicham Arazi,youtube,E4mrP2Cnlrw,https://www.youtube.com/watch?v=E4mrP2Cnlrw,Australian Open 2000 QF Agassi vs Arazi,Samprasfan1987,UCtb6ESNKfKiXOTO2VwCqM2w,5755,1051,public_search_result,"""Andre Agassi"" ""Hicham Arazi"" 2000 Australian Open quarterfinal full match | ao_research_discoveries",candidate,False,False,1.000,1.000,candidate_full_match,2026-09-22T16:07:53+00:00
australian-open-2000-men-qf-chris-woodruff-pete-sampras,Australian Open,2000,men,QF,Chris Woodruff,Pete Sampras,youtube,bULEzt1f-B0,https://www.youtube.com/watch?v=bULEzt1f-B0,Pete Sampras vs Chris Woodruff 2000 AO QF Highlights,JOTennisVid,UCZxwC4M0YGrSyYaMvbArerg,836,3504,public_search_result,"""Chris Woodruff"" ""Pete Sampras"" 2000 Australian Open quarterfinal full match",,False,False,1.000,1.000,candidate_match_video,2026-09-22T16:07:53+00:00
australian-open-2000-men-qf-chris-woodruff-pete-sampras,Australian Open,2000,men,QF,Chris Woodruff,Pete Sampras,youtube,cJSTgoyEk9s,https://www.youtube.com/watch?v=cJSTgoyEk9s,Pete Sampras great shots selection against Chris Woodruff (Australian Open 2000 QF),Samprasfan1987,UCtb6ESNKfKiXOTO2VwCqM2w,772,764,public_search_result,"""Chris Woodruff"" ""Pete Sampras"" 2000 Australian Open quarterfinal full match | ao_research_discoveries",highlight,False,False,1.000,1.000,candidate_match_video,2026-09-22T16:07:53+00:00
australian-open-2000-men-sf-andre-agassi-pete-sampras,Australian Open,2000,men,SF,Andre Agassi,Pete Sampras,youtube,6ACFmPyN80g,https://www.youtube.com/watch?v=6ACFmPyN80g,Andre Agassi vs Pete Sampras in a five-set classic! | Australian Open 2000 Semifinal,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,10440,101000,public_search_result,"""Andre Agassi"" ""Pete Sampras"" 2000 Australian Open semifinal full match | Classic Full Matches | Australian Open | ao_research_discoveries",highlight,True,False,1.000,1.000,candidate_match_video,2026-09-22T16:07:53+00:00
australian-open-2000-men-sf-andre-agassi-pete-sampras,Australian Open,2000,men,SF,Andre Agassi,Pete Sampras,youtube,VidDNY7PWdg,https://www.youtube.com/watch?v=VidDNY7PWdg,Andre Agassi vs Pete Sampras 2000 Australian Open SF Highlights,JOTennisVid,UCZxwC4M0YGrSyYaMvbArerg,1417,123631,public_search_result,"""Chris Woodruff"" ""Pete Sampras"" 2000 Australian Open quarterfinal full match",,False,False,1.000,1.000,candidate_match_video,2026-09-22T16:07:53+00:00
australian-open-2000-men-sf-andre-agassi-pete-sampras,Australian Open,2000,men,SF,Andre Agassi,Pete Sampras,youtube,jTnRXLl43vs,https://www.youtube.com/watch?v=jTnRXLl43vs,Pete Sampras v Andre Agassi Condensed Match | Australian Open 2000 Semifinal,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,2049,7747,public_search_result,"""Andre Agassi"" ""Pete Sampras"" 2000 Australian Open semifinal full match",,True,False,1.000,1.000,candidate_match_video,2026-09-22T16:07:53+00:00
australian-open-2000-men-sf-andre-agassi-pete-sampras,Australian Open,2000,men,SF,Andre Agassi,Pete Sampras,youtube,vibCy8AFSmk,https://www.youtube.com/watch?v=vibCy8AFSmk,Andre Agassi v Pete Sampras - Australian Open 2000 Semifinal | AO Classics,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,1485,831251,public_search_result,"""Andre Agassi"" ""Pete Sampras"" 2000 Australian Open semifinal full match",,True,False,1.000,1.000,candidate_match_video,2026-09-22T16:07:53+00:00
australian-open-2000-men-sf-andre-agassi-pete-sampras,Australian Open,2000,men,SF,Andre Agassi,Pete Sampras,youtube,xM_5jiEd1Og,https://www.youtube.com/watch?v=xM_5jiEd1Og,Andre Agassi's AMAZING Comeback! | Agassi v Sampras | Australian Open 2000 Semifinal,Australian Open,UCeTKJSW1NTAkf27nNmjWt5A,209,398150,public_search_result,"""Andre Agassi"" ""Pete Sampras"" 2000 Australian Open semifinal full match",,True,False,0.868,0.737,candidate_match_video,2026-09-22T16:07:53+00:00
australian-open-2000-men-sf-magnus-norman-yevgeny-kafelnikov,Australian Open,2000,men,SF,Magnus Norman,Yevgeny Kafelnikov,youtube,wdC28jfIkdQ,https://www.youtube.com/watch?v=wdC28jfIkdQ,Yevgeny Kafelnikov vs Magnus Norman 2000 Australian Open SF Highlights,JOTennisVid,UCZxwC4M0YGrSyYaMvbArerg,776,11448,public_search_result,"""Magnus Norman"" ""Yevgeny Kafelnikov"" 2000 Australian Open semifinal full match",,False,False,1.000,1.000,candidate_match_video,2026-09-22T16:07:53+00:00
